director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,index
Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Action Thriller,the 355,Jessica Chastain Lupita Nyong'o Penélope Cruz Simon Kinberg Action Thriller,10.0
Asif Akbar,Mickey Rourke,Michael Jai White,unknown,Action Crime Thriller,the commando,Mickey Rourke Michael Jai White unknown Asif Akbar Action Crime Thriller,11.0
Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,Horror Thriller,the legend of la llorona,Autumn Reeser Antonio Cupo Danny Trejo Patricia Harris Seeley Horror Thriller,12.0
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,Horror Mystery Thriller,scream,"Melissa Barrera Mason Gooding Jenna Ortega Matt Bettinelli-Olpin, Tyler Gillett Horror Mystery Thriller",13.0
"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,Animation Family Fantasy Comedy Adventure,hotel transylvania: transformania,"Andy Samberg Selena Gomez Kathryn Hahn Jennifer Kluska, Derek Drymon Animation Family Fantasy Comedy Adventure",14.0
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,shattered,Cameron Monaghan Frank Grillo Lilly Krug Luis Prieto Thriller,15.0
Rick Jacobson,Laura Marano,Mena Massoud,unknown,Romance Comedy,the royal treatment,Laura Marano Mena Massoud unknown Rick Jacobson Romance Comedy,16.0
D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Drama History Romance,redeeming love,Abigail Cowen Tom Lewis Logan Marshall-Green D.J. Caruso Drama History Romance,17.0
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Fantasy Drama Romance History,the king's daughter,Pierce Brosnan Kaya Scodelario Benjamin Walker Sean McNamara Fantasy Drama Romance History,18.0
Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,Family Adventure,the tiger rising,Christian Convery Dennis Quaid Queen Latifah Ray Giarratana Family Adventure,19.0
Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch,Drama,the fallout,Jenna Ortega Maddie Ziegler Niles Fitch Megan Park Drama,20.0
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,Animation Comedy Adventure Family,the ice age adventures of buck wild,Simon Pegg Utkarsh Ambudkar Justina Machado John C. Donkin Animation Comedy Adventure Family,21.0
"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,Family Comedy,home team,"Kevin James Taylor Lautner Rob Schneider Charles Kinnane, Daniel Kinnane Family Comedy",22.0
Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson,Crime Drama Thriller,clean,Adrien Brody Glenn Fleshler Mykelti Williamson Paul Solet Crime Drama Thriller,23.0
Michel Franco,Tim Roth,Charlotte Gainsbourg,unknown,Romance Comedy,sundown,Tim Roth Charlotte Gainsbourg unknown Michel Franco Romance Comedy,24.0
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Action Documentary Comedy,jackass forever,Johnny Knoxville Steve-O Chris Pontius Jeff Tremaine Action Documentary Comedy,25.0
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,Action Adventure Science Fiction,moonfall,Halle Berry Patrick Wilson John Bradley Roland Emmerich Action Adventure Science Fiction,26.0
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night,Scout Taylor-Compton Nolan Gerard Funk Jeff Fahey Rich Ragsdale Horror,27.0
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers,Thriller,kimi,Zoë Kravitz Rita Wilson Byron Bowers Steven Soderbergh Thriller,28.0
D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,Horror Thriller,shut in,Rainey Qualley Jake Horowitz Luciana VanDette D.J. Caruso Horror Thriller,29.0
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Mystery Crime Drama Thriller,death on the nile,Tom Bateman Annette Bening Kenneth Branagh Kenneth Branagh Mystery Crime Drama Thriller,30.0
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,Romance Comedy Music,marry me,Jennifer Lopez Owen Wilson Maluma Kat Coiro Romance Comedy Music,31.0
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Action Thriller,blacklight,Liam Neeson Emmy Raver-Lampman Taylor John Smith Mark Williams Action Thriller,32.0
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,Comedy Romance,i want you back,Charlie Day Jenny Slate Scott Eastwood Jason Orley Comedy Romance,33.0
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Comedy Drama Romance,tall girl 2,Ava Michelle Griffin Gluck Sabrina Carpenter Emily Ting Comedy Drama Romance,34.0
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,Drama Romance Music,the sky is everywhere,Grace Kaufman Pico Alexander Jacques Colimon Josephine Decker Drama Romance Music,35.0
Arie Posin,Joey King,Kyle Allen,Kim Dickens,Science Fiction Romance,the in between,Joey King Kyle Allen Kim Dickens Arie Posin Science Fiction Romance,36.0
Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,Action Crime Fantasy,fistful of vengeance,Iko Uwais Lewis Tan Lawrence Kao Roel Reiné Action Crime Fantasy,37.0
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,Action Adventure,uncharted,Tom Holland Mark Wahlberg Sophia Ali Ruben Fleischer Action Adventure,38.0
"Channing Tatum, Reid Carolin",Channing Tatum,Jane Adams,Kevin Nash,Drama Comedy,dog,"Channing Tatum Jane Adams Kevin Nash Channing Tatum, Reid Carolin Drama Comedy",39.0
David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Horror Thriller,texas chainsaw massacre,Sarah Yarkin Elsie Fisher Mark Burham David Blue Garcia Horror Thriller,40.0
Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,Horror Fantasy Mystery,the cursed,Boyd Holbrook Kelly Reilly Alistair Petrie Sean Ellis Horror Fantasy Mystery,41.0
Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,Fantasy Family,a fairy tale after all,Emily Shenaut Brian Hull Gabriel Burrafato Erik Peter Carlson Fantasy Family,42.0
Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Drama Romance,cyrano,Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Drama Romance,43.0
BJ McDonell,Dave Grohl,Taylor Hawkins,Nate Mendel,Horror Comedy Music,studio 666,Dave Grohl Taylor Hawkins Nate Mendel BJ McDonell Horror Comedy Music,44.0
Tyler Perry,Tyler Perry,Cassi Davis,David Mann,Comedy,a madea homecoming,Tyler Perry Cassi Davis David Mann Tyler Perry Comedy,45.0
Damien Power,Havana Rose Liu,Danny Ramirez,Dennis Haysbert,Horror Thriller,no exit,Havana Rose Liu Danny Ramirez Dennis Haysbert Damien Power Horror Thriller,46.0
Edward John Drake,Bruce Willis,Luke Wilson,Devon Sawa,Thriller Crime Mystery,gasoline alley,Bruce Willis Luke Wilson Devon Sawa Edward John Drake Thriller Crime Mystery,47.0
Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,Crime Mystery Thriller,the batman,Robert Pattinson Zoë Kravitz Paul Dano Matt Reeves Crime Mystery Thriller,48.0
"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr.",Kogonada (writer/director); Colin Farrell,Jodie Turner-Smith,Justin H. Min,Drama Science Fiction,after yang,"Kogonada (writer/director); Colin Farrell Jodie Turner-Smith Justin H. Min Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr. Drama Science Fiction",49.0
Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,Horror Thriller Romance,fresh,Daisy Edgar-Jones Sebastian Stan Jonica T. Gibbs Mimi Cave Horror Thriller Romance,50.0
Wes Miller,Kevin Dillon,Bruce Willis,Frank Grillo,Action Thriller Crime,a day to die,Kevin Dillon Bruce Willis Frank Grillo Wes Miller Action Thriller Crime,51.0
Shawn Levy,Ryan Reynolds,Mark Ruffalo,Jennifer Garner,Action Adventure Comedy Science Fiction,the adam project,Ryan Reynolds Mark Ruffalo Jennifer Garner Shawn Levy Action Adventure Comedy Science Fiction,52.0
Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse,Animation Family Comedy Fantasy,turning red,Rosalie Chiang Sandra Oh Ava Morse Domee Shi Animation Family Comedy Fantasy,53.0
Kim Bass,Rory Cochrane,Amy Smart,Major Dodson,Drama,tyson's run,Rory Cochrane Amy Smart Major Dodson Kim Bass Drama,54.0
Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander,Family Drama,rescued by ruby,Grant Gustin Scott Wolf Kaylah Zander Katt Shea Family Drama,55.0
Adrian Lyne,Ben Affleck,Ana de Armas,Tracy Letts,Drama Mystery Thriller,deep water,Ben Affleck Ana de Armas Tracy Letts Adrian Lyne Drama Mystery Thriller,56.0
Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Family Comedy,cheaper by the dozen,Gabrielle Union Zach Braff Erika Christensen Gail Lerner Family Comedy,57.0
Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn,Drama Crime Thriller,the outfit,Mark Rylance Zoey Deutch Johnny Flynn Graham Moore Drama Crime Thriller,58.0
Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Crime Drama Thriller,windfall,Lily Collins Jesse Plemons Jason Segel Charlie McDowell Crime Drama Thriller,59.0
Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Comedy,x,Mia Goth Jenna Ortega Martin Henderson Ti West Comedy,60.0
Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee,Horror Mystery,umma,Sandra Oh Fivel Stewart MeeWha Alana Lee Iris K. Shim Horror Mystery,61.0
Krystin Ver Linden,Keke Palmer,Common,Gaius Charles,Animation Family Fantasy Adventure,alice,Keke Palmer Common Gaius Charles Krystin Ver Linden Animation Family Fantasy Adventure,62.0
Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Horror Thriller Drama Mystery,master,Regina Hall Zoe Renee Amber Gray Mariama Diallo Horror Thriller Drama Mystery,63.0
Peyfa,Bella Thorne,Melissa Leo,Roma Maffia,Mystery Thriller Crime,measure of revenge,Bella Thorne Melissa Leo Roma Maffia Peyfa Mystery Thriller Crime,64.0
